species,age,sex,mean.headbill,SD.headbill,n.headbill ,mean.billdepth,SD.billdepth,n.billdepth,mean.billlength,SD.billlength,n.billlength,mean.winglength,SD.winglength,n.winglength,mean.weight,SD.weight,n.weight,mean.tail,SD.tail,n.tail,mean.tarsus,SD.tarsus,n.tarsus,reference
F.,unknown,female,,,,,,,36,1.73,10,,,,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. I. Oxford University Press, Oxford."
F.,unknown,male,,,,,,,40.9,1.34,23,340,9.46,18,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. I. Oxford University Press, Oxford."
F.,unknown,female,,,,,,,37.7,0.97,26,323,8.13,17,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. I. Oxford University Press, Oxford."
CN,adult,unknown,77.5,2.66,128,8.4,0.62,44,45.2,2.49,128,268.7,6.33,114,,,,149.8,7.82,41,21.2,0.87,127,"Kralj, 2019. Morphometry of inland Common Terns in Croatia and Slovenia"
CN,adult,male,79.6,2.06,21,8.7,0.5,17,45.9,2.39,21,268.8,6.49,21,,,,,,,21.4,1.25,22,"Kralj, 2019. Morphometry of inland Common Terns in Croatia and Slovenia"
CN,adult,female,76.5,2.71,30,8.2,0.58,26,44.1,2.73,30,267.2,6.17,26,,,,,,,21.1,0.93,29,"Kralj, 2019. Morphometry of inland Common Terns in Croatia and Slovenia"
CN,adult,male,79.6,1.81,62,,,,,,,273,5.6,62,,,,156,7.9,62,21.4,1.11,62,"Fletcher, 2003. Sexing terns using biometrics: the advantage of within-pair comparisons"
CN,adult,female,77,2.18,62,,,,,,,270,5.5,62,,,,152,8.2,62,21.2,1.08,62,"Fletcher, 2003. Sexing terns using biometrics: the advantage of within-pair comparisons"
CN,adult,female,,,,8,0.48,55,34.7,1.5,55,268.1,5.08,55,,,,148.4,7.53,30,24.1,0.9,55,"Coulter, 1986. ASSORTATIVE MATING AND SEXUAL DIMORPHISM IN THE COMMON TERN"
CN,adult,male,,,,8.4,0.34,50,37,1.42,50,268.1,5.88,50,,,,250.6,5.74,26,24,0.76,50,"Coulter, 1986. ASSORTATIVE MATING AND SEXUAL DIMORPHISM IN THE COMMON TERN"
CN,adult,male,79.35,2,123,7.54,0.33,123,27.19,1.44,123,265.4,6.21,123,,,,,,,21.31,0.89,123,"Nisbet, 2007. Sexual Dimorphism, Female-Female Pairs, and Test for Assortative Mating in Common Terns"
CN,adult,female,76.44,2,124,7.18,0.33,124,25.8,1.22,124,264.4,6.24,124,,,,,,,20.98,0.89,124,"Nisbet, 2007. Sexual Dimorphism, Female-Female Pairs, and Test for Assortative Mating in Common Terns"
CN,adult,male,79.6,1.8,62,8.3,0.4,24,36.8,1.4,201,271.9,7,201,,,,124,7.7,62,19.6,0.8,201,"Olsen and Larsson, 1995. Terns of Europe and North America (SD's from Cramp, 1985)."
CN,adult,female,77,2.2,62,7.6,0.3,11,35.7,1.2,103,270.1,6.5,111,,,,128,7.7,62,19.4,0.5,111,"Olsen and Larsson, 1995. Terns of Europe and North America (SD's from Cramp, 1985)."
CN,non-adult,unknown,,,,,,,,,,252.5,8.6,152,,,,,,,,,,"Olsen and Larsson, 1995. Terns of Europe and North America (SD's from Cramp, 1985)."
CN,adult,unknown,,,,,,,34.7,2.13,29,273,7.12,29,,,,,,,,,,"Mattison, 2006. QUANTIFYING DISTURBANCE FACTORS AND EFFECTS IN COMMON TERNS (STERNA HIRUNDO) USING VISUAL, AUDIO, AND  REPRODUCTIVE DATA"
CN,adult,unknown,,,,,,,,,,272.1,8.03,424,,,,,,,,,,"Ward, 2000. Migration patterns and moult of Common Terns Sterna hirundo and Sandwich Terns Sterna sandvicensis using Teesmouth in late summer"
CN,non-adult,unknown,,,,,,,,,,259.4,8.95,414,,,,,,,,,,"Ward, 2000. Migration patterns and moult of Common Terns Sterna hirundo and Sandwich Terns Sterna sandvicensis using Teesmouth in late summer"
CN,adult,unknown,78.1,2.53,565,,,,,,,268.9,6.04,564,,,,,,,,,,"Craik, 2011. Biometric differences between Common Terns Sterna hirundo and Arctic Terns S. paradisaea"
CN,adult,unknown,78.8,2.69,25,,,,37.7,2.42,25,277.7,6.88,15,,,,,,,,,,"Meissner and Krupa, 2007. Biometrics and Primary Molt of Common Tern and Sandwich Tern in Autumn in Puck Bay, Southern Baltic"
CN,non-adult,unknown,73.6,2.53,240,,,,32.5,1.9,240,262.8,6.44,229,,,,,,,,,,"Meissner and Krupa, 2007. Biometrics and Primary Molt of Common Tern and Sandwich Tern in Autumn in Puck Bay, Southern Baltic"
CN,adult,male,,,,,,,37.1,1.4,66,272,7.01,73,,,,70.5,3.06,45,20.2,0.77,45,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
CN,adult,female,,,,,,,35.2,1.24,36,270,6.52,39,,,,69.7,2.92,33,19.8,0.52,36,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
CN,non-adult,male,,,,,,,,,,255,8.84,19,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
CN,non-adult,female,,,,,,,,,,256,8.37,21,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
TE,adult,male,102.3,2.14,51,,,,54.9,2.14,51,297.4,15,51,,,,,,,26.1,2.1,51,"Nepshinsky, 2021. MORPHOMETRIC SEX DETERMINATION OF BREEDING SANDWICH TERNS"
TE,adult,female,98.8,3.12,61,,,,53.1,2.34,61,296.2,7.8,61,,,,,,,25.8,2.3,61,"Nepshinsky, 2021. MORPHOMETRIC SEX DETERMINATION OF BREEDING SANDWICH TERNS"
TE,adult,unknown,,,,,,,,,,306.5,6.56,195,,,,,,,,,,"Ward, 2000. Migration patterns and moult of Common Terns Sterna hirundo and Sandwich Terns Sterna sandvicensis using Teesmouth in late summer"
TE,non-adult,unknown,,,,,,,,,,278.3,16.97,102,,,,,,,,,,"Ward, 2000. Migration patterns and moult of Common Terns Sterna hirundo and Sandwich Terns Sterna sandvicensis using Teesmouth in late summer"
TE,adult,unknown,106,3.86,27,,,,56.1,2.66,27,309.4,7.37,15,,,,,,,,,,"Meissner and Krupa, 2007. Biometrics and Primary Molt of Common Tern and Sandwich Tern in Autumn in Puck Bay, Southern Baltic"
TE,non-adult,unknown,95.4,5.67,19,,,,45.1,4.42,19,298.4,6.68,16,,,,,,,,,,"Meissner and Krupa, 2007. Biometrics and Primary Molt of Common Tern and Sandwich Tern in Autumn in Puck Bay, Southern Baltic"
TE,adult,male,,,,,,,55.5,1.78,21,309,4.61,21,,,,73.9,2.47,26,26.9,0.7,21,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
TE,adult,female,,,,,,,53.1,2.19,16,304,6.03,16,,,,73.2,2.63,30,25.9,0.86,16,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
TE,non-adult,male,,,,,,,,,,302,3.96,5,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
TE,non-adult,female,,,,,,,,,,296,4.43,11,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. IV. Oxford University Press, Oxford."
AC,adult,male,76.09,1.55,43,9.5,0,43,28.6,1.31,43,320.3,5,44,,,,,,,44.5,1.13,44,"Catry, 1999. EVOLUTION OF REVERSED SEXUAL SIZE DIMORPHISM IN SKUAS AND JAEGERS"
AC,adult,female,77.35,1.53,53,9.7,0,53,29,0.73,53,327.2,5.9,53,,,,,,,45.17,1.81,53,"Catry, 1999. EVOLUTION OF REVERSED SEXUAL SIZE DIMORPHISM IN SKUAS AND JAEGERS"
AC,adult,male,,,,,,,31.1,1.18,34,315,5.68,14,,,,,,,44.3,1.66,34,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,adult,female,,,,,,,31.8,1.42,46,321,5.64,13,,,,,,,44.4,2.01,46,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,adult,male,,,,,,,,,,319,7.3,14,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,adult,female,,,,,,,,,,323,8.59,10,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,adult,male,,,,,,,,,,322,8.62,9,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,adult,female,,,,,,,,,,325,5.98,6,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,adult,male,,,,,,,,,,322,5.24,11,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,adult,female,,,,,,,,,,330,3.55,14,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,adult,male,,,,,,,,,,328,4.86,7,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,adult,female,,,,,,,,,,335,6.6,9,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,adult,male,,,,,,,,,,330,2.58,4,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,adult,female,,,,,,,,,,341,9.45,5,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,non-adult,male,,,,,,,,,,308,8.79,19,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
AC,non-adult,female,,,,,,,,,,314,7.21,14,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
NX,adult,male,109.9,1.68,112,,,,,,,416.8,7.1,112,,,,,,,68.9,1.55,112,"Catry, 1999. EVOLUTION OF REVERSED SEXUAL SIZE DIMORPHISM IN SKUAS AND JAEGERS"
NX,adult,female,111.5,1.82,127,,,,,,,427.4,7.1,127,,,,,,,70.3,1.72,127,"Catry, 1999. EVOLUTION OF REVERSED SEXUAL SIZE DIMORPHISM IN SKUAS AND JAEGERS"
NX,adult,male,111.4,1.3,20,,,,,,,417.9,7.9,20,,,,,,,,,,"Schreven and Hammer, 2021. Tail feather elongation in Great Skuas Stercorarius skua  a sexual ornament signalling individual quality "
NX,adult,female,112.9,1.6,27,,,,,,,429.9,7.3,27,,,,,,,,,,"Schreven and Hammer, 2021. Tail feather elongation in Great Skuas Stercorarius skua  a sexual ornament signalling individual quality "
NX,adult,male,111.3,2.6,25,,,,,,,419.6,8.7,37,,,,,,,70.4,2.3,16,"Kalmbach, 2009. Sex-specific growth patterns and effects of hatching condition on growth in the reversed sexually size-dimorphic great skua Stercorarius skua"
NX,adult,female,112.4,2.6,120,,,,,,,428,7.9,123,,,,,,,70.8,2.2,94,"Kalmbach, 2009. Sex-specific growth patterns and effects of hatching condition on growth in the reversed sexually size-dimorphic great skua Stercorarius skua"
NX,adult,male,,,,,,,50.1,1.63,26,399,7.87,31,,,,150,5.95,21,67.1,2.16,27,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
NX,adult,female,,,,,,,51.2,1.46,20,413,7.86,17,,,,149,3.83,12,68.7,2.2,22,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
NX,non-adult,male,,,,,,,,,,383,10.2,9,,,,143,4.96,9,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
NX,non-adult,female,,,,,,,,,,399,12.3,11,,,,144,4.93,11,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. III. Oxford University Press, Oxford."
KT,adult,male,,,,,,,27.4,1.07,7,490,25.8,7,,,,327,22.6,5,53.2,1.5,4,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
KT,adult,female,,,,,,,27.7,1.03,19,503,16.2,20,,,,343,16.2,15,52.8,0.83,9,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
KT,non-adult,unknown,,,,,,,,,,477,22.1,10,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
K.,adult,male,,,,,,,13.9,0.61,37,246,6.3,37,,,,163,5.6,37,39.6,0.93,36,"Baker, 1979. A guide to ageing and sexing non-passerines. (part 1); Village, 1980. Moult, ageing and sexing of kestrels"
K.,adult,female,,,,,,,15,0.85,43,256,8.48,45,,,,171,6.88,44,39.6,1.2,37,"Baker, 1979. A guide to ageing and sexing non-passerines. (part 1); Village, 1980. Moult, ageing and sexing of kestrels"
K.,non-adult,male,,,,,,,,,,240,12.42,32,,,,157,12.18,32,,,,"Baker, 1979. A guide to ageing and sexing non-passerines. (part 1); Village, 1980. Moult, ageing and sexing of kestrels"
K.,non-adult,female,,,,,,,,,,249,13.93,61,,,,165,12.53,62,,,,"Baker, 1979. A guide to ageing and sexing non-passerines. (part 1); Village, 1980. Moult, ageing and sexing of kestrels"
BZ,adult,male,,,,,,,21.6,0.75,41,387,10.1,42,,,,,,,75,2.6,26,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
BZ,adult,female,,,,,,,23,1.37,37,398,11.9,39,,,,,,,76.5,2.8,27,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
BZ,non-adult,male,,,,,,,21.1,1.27,32,381,11.6,33,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
BZ,non-adult,female,,,,,,,22.8,0.88,37,396,10.5,38,,,,,,,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
BZ,unknown,male,,,,,,,,,,382,27.1,56,,,,222,12.2,32,75,3.8,8,"Zuberogoitia, 2005. Sexing, ageing and moult of Buzzards Buteo buteoin a southern European area"
BZ,unknown,female,,,,,,,,,,400,15.7,53,,,,229,10.1,26,73,2.4,12,"Zuberogoitia, 2005. Sexing, ageing and moult of Buzzards Buteo buteoin a southern European area"
BZ,unknown,male,,,,,,,21.4,0.8,15,386,10.7,6,,,,210,7.2,13,76.1,2.7,15,"James, 1984. Geographic variation in the Buzzard Buteo buteo (Linnaeus, 1758): Mid-Atlantic and West MediterraneanIslands (Aves: Accipitridae)"
BZ,unknown,female,,,,,,,23.3,1,14,402,13.1,15,,,,220,7.7,14,76.9,2.1,15,"James, 1984. Geographic variation in the Buzzard Buteo buteo (Linnaeus, 1758): Mid-Atlantic and West MediterraneanIslands (Aves: Accipitridae)"
EA,adult,male,,,,,,,41.4,1.83,9,591,17.7,13,,,,,,,103,5.6,34,"Elderstam, 1984. Patterns of moult in large birds of prey"
EA,adult,female,,,,,,,45.3,2.84,14,661,13.8,13,,,,,,,109,6,30,"Elderstam, 1984. Patterns of moult in large birds of prey"
EA,non-adult,male,,,,,,,40.2,1.17,29,601,12.4,28,,,,,,,,,,"Elderstam, 1984. Patterns of moult in large birds of prey"
EA,non-adult,female,,,,,,,44.3,2.03,22,648,14,22,,,,,,,,,,"Elderstam, 1984. Patterns of moult in large birds of prey"
OP,adult,male,,,,,,,31.5,1.09,9,469,11.6,19,,,,201,8.1,8,56,2.5,14,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
OP,adult,female,,,,,,,34.4,1.4,7,495,14.1,14,,,,216,15.3,6,56,1,10,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
OP,non-adult,male,,,,,,,31.4,1.47,12,463,17.9,9,,,,202,4.8,7,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
OP,non-adult,female,,,,,,,33.3,1.04,10,485,11.7,11,,,,217,,8,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
WE,adult,male,,,,,,,52.6,2.77,17,606,26.2,19,,,,280,19.2,17,94.5,2.01,10,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
WE,adult,female,,,,,,,58.6,3.75,12,668,25.5,14,,,,305,19,15,96.5,2.15,7,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
WE,non-adult,male,,,,,,,52.9,2.03,20,645,22.2,24,,,,322,23.8,23,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
WE,non-adult,female,,,,,,,56.7,2.95,22,685,27,29,,,,345,17.7,28,,,,"Cramp, 1985. The Birds of the Western Palearctic. Vol. II. Oxford University Press, Oxford."
TM,adult,male,31.8,0.66,102,,,,,,,121.9,2.43,102,,,,56.5,2.41,102,22.2,0.72,102,"Jakubas, 2014. Body Size Variation of European Storm Petrels Hydrobates pelagicus in Relation to Environmental Variables"
TM,adult,female,31.5,0.62,54,,,,,,,123.7,2.41,54,,,,57.4,2.04,54,22.3,0.72,54,"Jakubas, 2014. Body Size Variation of European Storm Petrels Hydrobates pelagicus in Relation to Environmental Variables"
TM,unknown,unknown,31.8,0.7,55,,,,11.5,0.5,43,123.1,2.6,71,,,,58.4,2.8,14,22.9,0.8,60,"Strom, 2014. European Storm Petrels Hydrobates pelagicus visiting the Swedish west coast; results from a ringing study 1988–2012"
TM,unknown,male,,,,,,,10.8,0.49,20,120,2.95,19,,,,,,,21.5,0.68,20,"Scott, 1970; Baker, 1984"
TM,unknown,female,,,,,,,11,0.41,24,121,2.93,25,,,,,,,22.1,0.87,25,"Scott, 1970; Baker, 1984"
TL,adult,unknown,41.3,1.145643924,21,,,,16.3,0.412431813,21,160.66,3.628015987,65,,,,,,,24.67,0.641560597,21,"Miles, 2010. Miles, William Thomas Stead (2010) Ecology, behaviour and predatorprey interactions of Great Skuas and Leach's Storm-petrels at St Kilda. PhD thesis."
TL,adult,unknown,40.2,1.236931688,17,,,,15.89,0.494772675,17,160.91,3.158987179,77,,,,,,,24.8,0.700927956,17,"Miles, 2010. Miles, William Thomas Stead (2010) Ecology, behaviour and predatorprey interactions of Great Skuas and Leach's Storm-petrels at St Kilda. PhD thesis."
TL,non-adult,unknown,37.39,1.224499898,34,,,,15.97,0.641404708,34,160.85,3.965047288,34,,,,,,,24.79,0.816333265,34,"Miles, 2010. Miles, William Thomas Stead (2010) Ecology, behaviour and predatorprey interactions of Great Skuas and Leach's Storm-petrels at St Kilda. PhD thesis."
TL,adult,unknown,41.51,0.99,15,,,,16.58,0.57,17,158.8,2.2,19,,,,81.7,3.4,8,24.55,0.72,17,"Underhill, 2010. Leach's storm petrels Oceanodroma leucorhoa off southern Africa: breeding and migratory status, and measurements and mass of the breeding population"
TL,unknown,male,,,,,,,15.7,0.46,50,158,3.76,47,,,,,,,24,0.58,50,"Ainley, Lewis and Morrell, 1976; Baker, 1984"
TL,unknown,female,,,,,,,15.7,0.5,56,158,3.56,54,,,,,,,24.1,0.7,55,"Ainley, Lewis and Morrell, 1976; Baker, 1984"
