"bbs_code","age2","sex","metric","n","overallMEAN","overallVAR","overallSD","overallCV"
"AC","adults","female","billdepth",53,9.7,0,0,0
"AC","adults","female","billlength",99,30.3010101010101,3.17240403020105,1.78112437246843,0.0587810230263265
"AC","adults","female","headbill",53,77.35,2.34090000000015,1.53000000000005,0.0197802197802204
"AC","adults","female","tarsus",99,44.8122222222222,3.77857384960794,1.94385540861658,0.0433777954366349
"AC","adults","female","winglength",110,327.587272727273,59.3097080165317,7.70127963500428,0.0235090929232036
"AC","adults","male","billdepth",43,9.5,0,0,0
"AC","adults","male","billlength",77,29.7038961038961,3.11432118401069,1.7647439429024,0.0594111943002293
"AC","adults","male","headbill",43,76.09,2.40250000000015,1.55000000000005,0.0203706137468793
"AC","adults","male","tarsus",78,44.4128205128205,1.93129717291208,1.38971118327229,0.0312907662072741
"AC","adults","male","winglength",103,320.633009708738,45.7782268640003,6.76596089731535,0.0211018849976225
"AC","non-adult","female","winglength",14,314,51.9841000000015,7.2100000000001,0.0229617834394908
"AC","non-adult","male","winglength",19,308,77.2641000000003,8.79000000000002,0.0285389610389611
"BZ","adults","female","billlength",37,23,1.87689999999998,1.36999999999999,0.059565217391304
"BZ","adults","female","tarsus",27,76.5,7.84000000000015,2.80000000000003,0.0366013071895428
"BZ","adults","female","winglength",39,398,141.609999999986,11.8999999999994,0.0298994974874357
"BZ","adults","male","billlength",41,21.6,0.5625,0.75,0.0347222222222222
"BZ","adults","male","tarsus",26,75,6.76000000000022,2.60000000000004,0.0346666666666672
"BZ","adults","male","winglength",42,387,102.010000000009,10.1000000000005,0.0260981912144715
"BZ","non-adult","female","billlength",37,22.8,0.774400000000014,0.880000000000008,0.0385964912280705
"BZ","non-adult","female","winglength",38,396,110.25,10.5,0.0265151515151515
"BZ","non-adult","male","billlength",32,21.1,1.61290000000002,1.27000000000001,0.0601895734597161
"BZ","non-adult","male","winglength",33,381,134.559999999998,11.5999999999999,0.0304461942257215
"BZ","unknown","female","billlength",14,23.3,1,1,0.0429184549356223
"BZ","unknown","female","tail",40,225.85,105.485500000003,10.2706134188763,0.0454753748898664
"BZ","unknown","female","tarsus",27,75.1666666666667,8.76555555555569,2.96066809277158,0.0393880455801097
"BZ","unknown","female","winglength",68,400.441176470588,230.660069204139,15.1874971342924,0.0379269116831393
"BZ","unknown","male","billlength",15,21.4,0.639999999999986,0.799999999999991,0.0373831775700931
"BZ","unknown","male","tail",45,218.533333333333,150.400000000001,12.2637677734048,0.056118522453042
"BZ","unknown","male","tarsus",23,75.7173913043478,10.0514366729676,3.17040008089951,0.0418714911631862
"BZ","unknown","male","winglength",62,382.387096774194,675.816285119683,25.9964667814625,0.0679846862008889
"CN","adults","female","billdepth",216,7.53296296296296,0.347106035665284,0.589157055177382,0.0782105338993525
"CN","adults","female","billlength",348,32.6867816091954,34.2239982626502,5.85012805523522,0.178975346217306
"CN","adults","female","headbill",278,76.6962589928058,4.79061262357027,2.18874681577616,0.0285378562725134
"CN","adults","female","tail",187,128.941711229947,909.206378889874,30.1530492469646,0.233850233251454
"CN","adults","female","tarsus",417,20.9101199040767,2.73778080097077,1.6546240663579,0.079130300254056
"CN","adults","female","winglength",417,267.936211031175,43.1093635813741,6.56577212377753,0.0245049823557204
"CN","adults","male","billdepth",214,7.91831775700935,0.328755581273469,0.573372114140084,0.0724108493413934
"CN","adults","male","billlength",461,34.7151193058568,26.2506807341392,5.12354181539872,0.14758819551383
"CN","adults","male","headbill",268,79.4852611940298,3.69131746909079,1.92128016413296,0.0241715273406848
"CN","adults","male","tail",195,138.708205128205,2952.02362293228,54.3325282214281,0.391703779680587
"CN","adults","male","tarsus",503,20.8098011928429,2.52926039785143,1.59036486312149,0.0764238374208235
"CN","adults","male","winglength",530,270.052641509434,51.1787452865683,7.15393215557488,0.0264908801320685
"CN","adults","unknown","billdepth",44,8.4,0.384399999999999,0.62,0.0738095238095238
"CN","adults","unknown","billlength",182,42.4967032967033,23.8740160548241,4.88610438435612,0.114976080620709
"CN","adults","unknown","headbill",718,78.0174094707521,6.62467991868471,2.57384535640444,0.0329906539305096
"CN","adults","unknown","tail",41,149.8,61.152399999999,7.81999999999994,0.0522029372496658
"CN","adults","unknown","tarsus",127,21.2,0.756899999999973,0.869999999999985,0.0410377358490559
"CN","adults","unknown","winglength",1146,270.282984293194,51.0183685809025,7.14271437066487,0.0264268000049781
"CN","non-adult","female","winglength",21,256,70.0568999999959,8.36999999999976,0.0326953124999991
"CN","non-adult","male","winglength",19,255,78.1456000000035,8.8400000000002,0.0346666666666674
"CN","non-adult","unknown","billlength",240,32.5,3.6099999999999,1.89999999999997,0.0584615384615377
"CN","non-adult","unknown","headbill",240,73.6,6.40089999999964,2.52999999999993,0.034374999999999
"CN","non-adult","unknown","winglength",795,259.060125786164,80.1181577200041,8.95087469021906,0.0345513407864528
"EA","adults","female","billlength",14,45.3,8.0655999999999,2.83999999999998,0.0626931567328915
"EA","adults","female","tarsus",30,109,36,6,0.055045871559633
"EA","adults","female","winglength",13,661,190.440000000002,13.8000000000001,0.0208774583963693
"EA","adults","male","billlength",9,41.4,3.34889999999996,1.82999999999999,0.0442028985507244
"EA","adults","male","tarsus",34,103,31.3600000000006,5.60000000000005,0.0543689320388355
"EA","adults","male","winglength",13,591,313.289999999979,17.6999999999994,0.0299492385786792
"EA","non-adult","female","billlength",22,44.3,4.12089999999989,2.02999999999997,0.0458239277652364
"EA","non-adult","female","winglength",22,648,196,14,0.0216049382716049
"EA","non-adult","male","billlength",29,40.2,1.36889999999994,1.16999999999997,0.0291044776119397
"EA","non-adult","male","winglength",28,601,153.760000000009,12.4000000000004,0.0206322795341104
"F.","adults","female","billdepth",45,15.1862222222222,1.2458354172839,1.11616997687803,0.0734988570919712
"F.","adults","female","billlength",55,35.9072727272727,4.51255438016551,2.12427737834905,0.0591600869964037
"F.","adults","female","headbill",29,85,6.25,2.5,0.0294117647058824
"F.","adults","female","tail",29,121,25,5,0.0413223140495868
"F.","adults","female","tarsus",29,49.8,2.55999999999995,1.59999999999998,0.0321285140562246
"F.","adults","female","winglength",46,315.991304347826,158.146170037799,12.5756180777646,0.0397973548788608
"F.","adults","male","billdepth",51,16.64,1.26308299999999,1.12386965436388,0.0675402436516757
"F.","adults","male","billlength",57,38.6333333333333,5.92395555555549,2.433917738042,0.0630004591382744
"F.","adults","male","headbill",34,91.4,6.76000000000022,2.60000000000004,0.0284463894967182
"F.","adults","male","tail",34,118,36,6,0.0508474576271186
"F.","adults","male","tarsus",34,54.1,2.55999999999995,1.59999999999998,0.029574861367837
"F.","adults","male","winglength",52,330.088461538462,208.039651479296,14.4235797040574,0.0436961038772231
"F.","non-adult","female","billlength",76,37.4,1.69000000000005,1.30000000000002,0.0347593582887706
"F.","non-adult","female","tail",43,124,9,3,0.0241935483870968
"F.","non-adult","female","tarsus",76,52.9,1.96000000000004,1.40000000000001,0.0264650283553878
"F.","non-adult","female","winglength",22,333,64,8,0.024024024024024
"F.","non-adult","male","billlength",98,40,2.55999999999995,1.59999999999998,0.0399999999999996
"F.","non-adult","male","tail",60,128,25,5,0.0390625
"F.","non-adult","male","tarsus",98,56.6,1.96000000000004,1.40000000000001,0.0247349823321557
"F.","non-adult","male","winglength",29,344,49,7,0.0203488372093023
"F.","unknown","female","billlength",66,36.7030303030303,2.46950899908165,1.57146714858493,0.0428157330773635
"F.","unknown","female","tail",13,122,6.10089999999946,2.46999999999989,0.0202459016393434
"F.","unknown","female","tarsus",14,50.2,0.792100000000119,0.890000000000067,0.01772908366534
"F.","unknown","female","winglength",44,323.795454545455,46.4574907024798,6.81597320288745,0.0210502436251174
"F.","unknown","male","billlength",73,39.1917808219178,3.61230641771476,1.90060685511622,0.0484950368484739
"F.","unknown","male","tail",10,125,19.0969000000005,4.37000000000005,0.0349600000000004
"F.","unknown","male","tarsus",10,53.7,2.01639999999998,1.41999999999999,0.0264432029795157
"F.","unknown","male","winglength",54,339.333333333333,64.4977555555233,8.03104946787923,0.0236671398856952
"GB","adults","female","billdepth",174,23.1,1,1,0.0432900432900433
"GB","adults","female","billlength",8,55.8,15.21,3.9,0.0698924731182797
"GB","adults","female","tail",118,184.762711864407,66.6453045101953,8.1636575448873,0.0441845514309101
"GB","adults","female","tarsus",121,72.9239669421488,6.87140905675824,2.62133726497722,0.0359461693445277
"GB","adults","female","winglength",219,477.145205479452,134.332248702092,11.5901789762752,0.024290674711127
"GB","adults","male","billdepth",131,25.5,1.21000000000004,1.10000000000002,0.0431372549019614
"GB","adults","male","billlength",10,64.3,9,3,0.046656298600311
"GB","adults","male","tail",103,194.077669902913,38.9437732114093,6.24049462874613,0.0321546246503677
"GB","adults","male","tarsus",115,78.2086956521739,7.44601134215645,2.72873804938408,0.0348904687212775
"GB","adults","male","winglength",205,498.590243902439,179.827026769781,13.4099599838993,0.0268957528710154
"GU","adults","female","billdepth",230,12.5026956521739,0.580164472589814,0.76168528447766,0.0609216848644334
"GU","adults","female","billlength",227,46.3403964757709,5.80568266219007,2.40949842543839,0.051995636824087
"GU","adults","female","headbill",303,111.294158415842,9.386255974905,3.06369972009415,0.0275279472319373
"GU","adults","female","tarsus",17,38.06,3.7636,1.94,0.0509721492380452
"GU","adults","female","winglength",448,202.709821428571,43.8994859056111,6.62566871384399,0.0326854844385459
"GU","adults","male","billdepth",171,12.9109356725146,0.609729533873661,0.780851800198771,0.0604798769047454
"GU","adults","male","billlength",168,48.418869047619,7.08683562570877,2.66211112196857,0.0549808612702299
"GU","adults","male","headbill",310,114.99564516129,10.8908545837658,3.3001294798486,0.0286978648210539
"GU","adults","male","tarsus",19,39.08,3.4969000000001,1.87000000000003,0.0478505629478
"GU","adults","male","winglength",408,201.848039215686,33.9708998317947,5.82845604185145,0.0288754652485051
"GU","adults","unknown","billdepth",1036,13.4619691119691,0.49875297587991,0.706224451488271,0.0524607095451113
"GU","adults","unknown","billlength",969,47.1365325077399,7.23645154718906,2.69006534255008,0.0570696485174925
"GU","adults","unknown","winglength",3442,205.202818128995,39.2457503382248,6.26464287395736,0.0305290294308691
"GU","non-adult","female","billdepth",422,11.5918483412322,0.361971465151271,0.601640644530662,0.0519020458877663
"GU","non-adult","female","billlength",410,45.9946341463415,6.14089803688285,2.4780835411428,0.0538776661046648
"GU","non-adult","female","headbill",245,110.220816326531,10.2668189254473,3.20418771694907,0.029070622263009
"GU","non-adult","female","winglength",438,199.072146118721,31.3056168553667,5.59514225515015,0.028106103059809
"GU","non-adult","male","billdepth",418,11.9566985645933,0.425884076600795,0.652597944067245,0.0545801117709655
"GU","non-adult","male","billlength",410,47.8392682926829,6.64797361094497,2.57836646172436,0.0538964443592612
"GU","non-adult","male","headbill",323,112.357894736842,12.8884324099727,3.59004629635506,0.0319518829074134
"GU","non-adult","male","winglength",435,198.212183908046,36.6982818972174,6.05791068745796,0.0305627563756037
"GU","non-adult","unknown","billdepth",267,11.9760299625468,0.425343040300731,0.652183287351594,0.0544573860779571
"GU","non-adult","unknown","billlength",267,45.8823970037453,6.81459650156421,2.6104782131947,0.0568949833414678
"GU","non-adult","unknown","winglength",267,198.759925093633,24.6768584213569,4.96758074130224,0.0249928688540312
"GU","unknown","female","billdepth",36,12.975,0.435352777777751,0.659812683856374,0.0508526153261175
"GU","unknown","female","billlength",36,46.2166666666667,4.31534444444378,2.07734071457808,0.0449478697708925
"GU","unknown","female","tail",25,46.672,15.4652040000005,3.93258235768821,0.0842599922370631
"GU","unknown","female","tarsus",37,38.7783783783784,3.17457845142417,1.78173467481109,0.0459466008976932
"GU","unknown","female","winglength",75,199.452,80.8581479999921,8.9921158800358,0.0450841098611987
"GU","unknown","male","billdepth",36,13.3666666666667,0.371866666666705,0.609808713177095,0.0456215994895582
"GU","unknown","male","billlength",33,48.1484848484849,4.74962497704246,2.17936343390506,0.0452633855616256
"GU","unknown","male","tail",32,45.6125,11.9165968750003,3.45204242079965,0.0756819385212311
"GU","unknown","male","tarsus",36,39.1777777777778,3.50625061728374,1.87249849593631,0.047794913395992
"GU","unknown","male","winglength",83,198.043373493976,53.0098344026701,7.28078528749956,0.0367635895059171
"GX","adults","female","billdepth",104,33.8413461538462,5.00752126479324,2.23774915144509,0.0661247085524335
"GX","adults","female","billlength",140,98.8078571428572,9.12095540816154,3.02009195359372,0.0305653015956742
"GX","adults","female","tail",16,220,83.9055999999982,9.1599999999999,0.0416363636363632
"GX","adults","female","tarsus",38,66.1526315789474,51.4452878116344,7.17253705543822,0.108424062418113
"GX","adults","female","winglength",73,492.02602739726,141.651103396493,11.9017269081631,0.0241892222066408
"GX","adults","male","billdepth",84,34.0095238095238,3.29562358276598,1.81538524362351,0.0533787316103244
"GX","adults","male","billlength",125,98.212,9.76038720000179,3.12416183959823,0.0318103881358513
"GX","adults","male","tail",20,223,108.160000000003,10.4000000000002,0.0466367713004492
"GX","adults","male","tarsus",41,66.4926829268293,44.0029732897065,6.63347369706901,0.0997624611473221
"GX","adults","male","winglength",68,493.167647058824,116.42998269893,10.7902725961363,0.0218795224311405
"GX","adults","unknown","winglength",65,491.923076923077,124.132544378663,11.1414785544228,0.0226488227064107
"GX","non-adult","female","billdepth",7,34.2,3.6099999999999,1.89999999999997,0.0555555555555548
"GX","non-adult","female","billlength",20,97.32,8.78454000000056,2.96387246689202,0.0304549164292233
"GX","non-adult","female","winglength",12,479,275.559999999998,16.5999999999999,0.0346555323590813
"GX","non-adult","male","billdepth",4,34.3,8.41000000000008,2.90000000000001,0.0845481049562686
"GX","non-adult","male","billlength",23,94.6652173913044,10.5919032136098,3.25452042759142,0.0343792632318021
"GX","non-adult","male","winglength",20,476.4,283.617999999959,16.8409619677725,0.0353504659273142
"GX","non-adult","unknown","winglength",158,466.126582278481,463.382711103972,21.5263260010614,0.0461812881295853
"HG","adults","female","billdepth",2321,17.594614390349,0.558355312313381,0.747231766129747,0.0424693459914427
"HG","adults","female","billlength",497,49.8778672032193,5.63701516948777,2.37423991405413,0.0476010713204852
"HG","adults","female","headbill",1401,113.58022840828,13.8735776780213,3.72472518154311,0.0327937813978861
"HG","adults","female","tail",175,162.937142857143,44.8953061224529,6.70039596758676,0.0411225816906671
"HG","adults","female","tarsus",259,57.0872586872587,11.3937372728487,3.3754610459682,0.0591280983460775
"HG","adults","female","winglength",2275,410.427076923077,112.473351060005,10.6053454003161,0.0258397800647635
"HG","adults","male","billdepth",2336,19.5638698630137,0.675364133749383,0.82180541112199,0.0420062808062145
"HG","adults","male","billlength",543,54.2907918968693,6.44938114085471,2.53956317914218,0.0467770516953653
"HG","adults","male","headbill",1273,124.320816967793,13.9382155148087,3.73339195836825,0.0300303042517444
"HG","adults","male","tail",171,171.33918128655,54.1940203823433,7.36165880643373,0.0429654136967189
"HG","adults","male","tarsus",261,61.8873563218391,14.2906064209278,3.78029184335387,0.0610834275048822
