"bbs_code","age2","sex","metric","n","overallMEAN","overallVAR","overallSD","overallCV"
"HG","adults","male","winglength",2346,430.151619778346,124.705456583499,11.167159736634,0.025960984971737
"HG","non-adult","female","billdepth",5,16.3,1.20999999999998,1.09999999999999,0.0674846625766865
"HG","non-adult","female","billlength",11,49.5636363636364,13.3168595041325,3.64922724753234,0.0736271088093466
"HG","non-adult","female","tarsus",6,60,10.8899999999999,3.29999999999998,0.0549999999999997
"HG","non-adult","female","winglength",13,401.153846153846,271.831715976296,16.4873198542485,0.0410997426855666
"HG","non-adult","male","billdepth",26,18.1384615384615,1.08236686390524,1.04036861924283,0.0573570485587651
"HG","non-adult","male","billlength",23,54.0130434782609,7.22809073724011,2.68851087727763,0.0497752154691986
"HG","non-adult","male","tarsus",27,63.4444444444444,19.2669135802471,4.38940925185236,0.0691850845300722
"HG","non-adult","male","winglength",27,421.185185185185,97.3457064471731,9.86639277786837,0.0234253082133702
"K.","adults","female","billlength",43,15,0.722499999999997,0.849999999999998,0.0566666666666665
"K.","adults","female","tail",44,171,47.3343999999997,6.87999999999998,0.0402339181286549
"K.","adults","female","tarsus",37,39.6,1.44000000000005,1.20000000000002,0.0303030303030309
"K.","adults","female","winglength",45,256,71.9103999999934,8.47999999999961,0.0331249999999985
"K.","adults","male","billlength",37,13.9,0.372099999999989,0.609999999999991,0.0438848920863303
"K.","adults","male","tail",37,163,31.3600000000006,5.60000000000005,0.0343558282208592
"K.","adults","male","tarsus",36,39.6,0.864900000000034,0.930000000000018,0.0234848484848489
"K.","adults","male","winglength",37,246,39.6900000000023,6.30000000000018,0.0256097560975617
"K.","non-adult","female","tail",62,165,157.000899999999,12.53,0.0759393939393937
"K.","non-adult","female","winglength",61,249,194.044900000001,13.93,0.0559437751004017
"K.","non-adult","male","tail",32,157,148.3524,12.18,0.0775796178343948
"K.","non-adult","male","winglength",32,240,154.256399999998,12.4199999999999,0.0517499999999997
"KI","adults","female","billlength",60,34.16,1.83340000000021,1.35403101884714,0.0396379103877967
"KI","adults","female","headbill",131,87.6511450381679,59.5075368568259,7.7141128366667,0.0880092648339912
"KI","adults","female","tail",22,122,16.0800999999992,4.0099999999999,0.0328688524590156
"KI","adults","female","tarsus",135,35.6133333333333,5.69982222222211,2.38743004551382,0.0670375340372656
"KI","adults","female","winglength",222,307.814864864865,175.915443900652,13.263311950665,0.0430886011839869
"KI","adults","male","billlength",57,36.0491228070175,4.0293887042169,2.00733373015473,0.055683289185721
"KI","adults","male","headbill",129,92.3992248062016,4.79558079442177,2.18988145670531,0.0237002145991849
"KI","adults","male","tail",22,127,4,2,0.015748031496063
"KI","adults","male","tarsus",110,36.81,6.56146636363633,2.56153593838469,0.0695880450525588
"KI","adults","male","winglength",197,316.505076142132,77.3410909840459,8.79437837394127,0.0277858999329035
"KI","adults","unknown","billlength",655,35.9842748091603,1.08051607715174,1.03947875262159,0.0288870279624748
"KI","adults","unknown","headbill",508,90.5271653543307,3.79558094116146,1.9482250745644,0.0215208889722647
"KI","adults","unknown","winglength",655,318.178320610687,22.1822475613299,4.70980334635427,0.0148024018019664
"KI","non-adult","unknown","billlength",14,35.2357142857143,8.68872448979596,2.94766424305686,0.0836555836261829
"KI","non-adult","unknown","winglength",14,309.042857142857,131.912448979565,11.4853144919747,0.0371641480348649
"KT","adults","female","billlength",19,27.7,1.06089999999995,1.02999999999997,0.0371841155234648
"KT","adults","female","tail",15,343,262.440000000002,16.2000000000001,0.0472303206997087
"KT","adults","female","tarsus",9,52.8,0.688900000000103,0.830000000000062,0.0157196969696981
"KT","adults","female","winglength",20,503,262.440000000002,16.2000000000001,0.0322067594433401
"KT","adults","male","billlength",7,27.4,1.14490000000001,1.07,0.0390510948905111
"KT","adults","male","tail",5,327,510.759999999995,22.5999999999999,0.0691131498470944
"KT","adults","male","tarsus",4,53.2,2.25,1.5,0.0281954887218045
"KT","adults","male","winglength",7,490,665.640000000014,25.8000000000003,0.0526530612244904
"KT","non-adult","unknown","winglength",10,477,488.410000000003,22.1000000000001,0.0463312368972748
"LB","adults","female","billdepth",278,16.2147482014388,0.440142202784557,0.663432138793831,0.0409153525267176
"LB","adults","female","billlength",256,48.28359375,7.35354255371067,2.71174160894999,0.0561627956483663
"LB","adults","female","headbill",157,110.320382165605,7.57690940808789,2.75261864559693,0.0249511340657332
"LB","adults","female","tail",136,149.014705882353,37.5780190311416,6.13009127429124,0.0411374920212972
"LB","adults","female","tarsus",327,62.6788990825688,27.3450422130572,5.22924872357944,0.0834291731367329
"LB","adults","female","winglength",834,412.943285371703,80.0923038346809,8.94943036369807,0.0216722990316755
"LB","adults","male","billdepth",216,18.0287037037037,0.576398319615862,0.759209009177224,0.042111125772246
"LB","adults","male","billlength",112,52.8875,6.25287946428534,2.50057582654183,0.0472810366635184
"LB","adults","male","headbill",186,120.520430107527,6.9339912128562,2.63324727529645,0.0218489701119312
"LB","adults","male","tail",99,157.383838383838,30.1822155698392,5.49383432311525,0.0349072330394974
"LB","adults","male","tarsus",232,65.0530172413793,6.65369779280627,2.57947626327638,0.0396519081306441
"LB","adults","male","winglength",623,436.429213483146,86.4006875034247,9.29519701262027,0.0212982924273909
"LB","non-adult","female","billdepth",27,12.7,0.360000000000014,0.600000000000011,0.0472440944881899
"LB","non-adult","female","headbill",27,103.7,9.61000000000058,3.10000000000009,0.0298939247830289
"LB","non-adult","female","tarsus",27,61.9,4.40999999999985,2.09999999999997,0.0339256865912757
"LB","non-adult","male","billdepth",20,13.7,1,1,0.072992700729927
"LB","non-adult","male","headbill",20,110.4,32.4899999999998,5.69999999999998,0.0516304347826085
"LB","non-adult","male","tarsus",20,66.6,6.76000000000022,2.60000000000004,0.0390390390390397
"MX","adults","female","billlength",158,34.386835443038,1.53281687785966,1.23806981946078,0.0360041801901677
"MX","adults","female","headbill",61,80.5,3.81250000009095,1.95256241899995,0.0242554337763969
"MX","adults","female","tarsus",157,45.23,1.63784785344319,1.27978429957676,0.0282950320490109
"MX","adults","female","winglength",108,240.430555555556,18.8222043212227,4.33845644454599,0.0180445302990764
"MX","adults","male","billlength",152,35.26875,1.81742293811772,1.3481182952982,0.0382241586474768
"MX","adults","male","headbill",55,82.7,2.66199999947457,1.63156366700003,0.0197287021402663
"MX","adults","male","tarsus",152,46.1790131578947,1.07642355904727,1.03750834167599,0.0224670964303321
"MX","adults","male","winglength",102,241.555882352941,23.3061016726788,4.8276393478261,0.0199856004366408
"MX","unknown","female","billlength",15,34.3,1.58760000000007,1.26000000000003,0.0367346938775518
"MX","unknown","female","tail",9,74.9,8.35210000000006,2.89000000000001,0.0385847797062752
"MX","unknown","female","tarsus",14,44.4,0.722500000000082,0.850000000000048,0.0191441441441452
"MX","unknown","female","winglength",14,235,20.25,4.5,0.0191489361702128
"MX","unknown","male","billlength",16,34.9,1.69000000000005,1.30000000000002,0.0372492836676224
"MX","unknown","male","tail",15,74.7,8.1225000000004,2.85000000000007,0.038152610441768
"MX","unknown","male","tarsus",16,45.6,2.13160000000016,1.46000000000006,0.0320175438596503
"MX","unknown","male","winglength",10,239,13.3956000000035,3.66000000000047,0.0153138075313827
"NX","adults","female","billlength",20,51.2,2.13160000000016,1.46000000000006,0.0285156250000011
"NX","adults","female","headbill",274,112.032116788321,5.01289113964594,2.2389486683812,0.0199848823048803
"NX","adults","female","tail",12,149,14.6689000000006,3.83000000000008,0.0257046979865777
"NX","adults","female","tarsus",243,70.3485596707819,4.18273167030657,2.04517277272767,0.0290719921246247
"NX","adults","female","winglength",294,427.047959183673,68.9431869915279,8.30320341744847,0.019443257458297
"NX","adults","male","billlength",26,50.1,2.65689999999995,1.62999999999998,0.0325349301397203
"NX","adults","male","headbill",157,110.314012738854,3.73247115907361,1.9319604444899,0.0175132822795906
"NX","adults","male","tail",21,150,35.4025000000001,5.95000000000001,0.0396666666666668
"NX","adults","male","tarsus",155,68.7412903225807,3.86623833506656,1.96627524397439,0.0286039909164826
"NX","adults","male","winglength",200,414.669,104.21390849998,10.2085213669747,0.0246184821314705
"NX","non-adult","female","tail",11,144,24.3048999999992,4.92999999999992,0.0342361111111105
"NX","non-adult","female","winglength",11,399,151.290000000008,12.3000000000003,0.0308270676691738
"NX","non-adult","male","tail",9,143,24.6016000000018,4.96000000000018,0.0346853146853159
"NX","non-adult","male","winglength",9,383,104.040000000008,10.2000000000004,0.0266318537859018
"OP","adults","female","billlength",7,34.4,1.96000000000004,1.40000000000001,0.040697674418605
"OP","adults","female","tail",6,216,234.089999999997,15.2999999999999,0.0708333333333328
"OP","adults","female","tarsus",10,56,1,1,0.0178571428571429
"OP","adults","female","winglength",14,495,198.809999999998,14.0999999999999,0.0284848484848483
"OP","adults","male","billlength",9,31.5,1.18809999999996,1.08999999999998,0.0346031746031741
"OP","adults","male","tail",8,201,65.6100000000006,8.10000000000004,0.0402985074626867
"OP","adults","male","tarsus",14,56,6.25,2.5,0.0446428571428571
"OP","adults","male","winglength",19,469,134.559999999998,11.5999999999999,0.0247334754797439
"OP","non-adult","female","billlength",10,33.3,1.08159999999998,1.03999999999999,0.0312312312312309
"OP","non-adult","female","winglength",11,485,136.890000000014,11.7000000000006,0.0241237113402074
"OP","non-adult","male","billlength",12,31.4,2.16089999999997,1.46999999999999,0.0468152866242035
"OP","non-adult","male","tail",7,202,23.0400000000009,4.80000000000009,0.0237623762376242
"OP","non-adult","male","winglength",9,463,320.410000000003,17.9000000000001,0.03866090712743
"TE","adults","female","billlength",77,53.1,5.33440519480473,2.30963312991582,0.0434959158176237
"TE","adults","female","headbill",61,98.8,9.73439999999937,3.1199999999999,0.03157894736842
"TE","adults","female","tail",30,73.2,6.91690000000017,2.63000000000003,0.0359289617486343
"TE","adults","female","tarsus",77,25.8207792207792,4.34610848372392,2.08473223309948,0.0807385484099485
"TE","adults","female","winglength",77,297.820779220779,65.7685864058003,8.10978337600952,0.0272304148730925
"TE","adults","male","billlength",72,55.075,4.24237499999981,2.0597026484422,0.0373981415967717
"TE","adults","male","headbill",51,102.3,4.57959999999912,2.13999999999979,0.0209188660801544
"TE","adults","male","tail",26,73.9,6.10090000000037,2.47000000000007,0.0334235453315301
"TE","adults","male","tarsus",72,26.3333333333333,3.39888888888879,1.84360757453662,0.0700104142229095
"TE","adults","male","winglength",72,300.783333333333,193.373251388897,13.905871112192,0.0462321863318847
"TE","adults","unknown","billlength",27,56.1,7.07560000000012,2.66000000000002,0.0474153297682713
"TE","adults","unknown","headbill",27,106,14.8996000000006,3.86000000000008,0.0364150943396234
"TE","adults","unknown","winglength",210,306.707142857143,44.3973561224266,6.66313410659177,0.0217247438208353
"TE","non-adult","female","winglength",11,296,19.6248999999953,4.42999999999946,0.0149662162162144
"TE","non-adult","male","winglength",5,302,15.6815999999963,3.95999999999953,0.0131125827814554
"TE","non-adult","unknown","billlength",19,45.1,19.5364,4.42,0.0980044345898003
"TE","non-adult","unknown","headbill",19,95.4,32.1489000000001,5.67000000000001,0.0594339622641511
"TE","non-adult","unknown","winglength",118,281.025423728814,302.336219735691,17.3878181418972,0.0618727583831572
"TL","adults","unknown","billlength",55,16.2598181818182,0.315612694335186,0.561794174351414,0.0345510735771704
"TL","adults","unknown","headbill",53,41.0066037735849,1.6027016736798,1.26597854392553,0.0308725528921035
"TL","adults","unknown","tail",8,81.7,11.5600000000004,3.40000000000006,0.0416156670746641
"TL","adults","unknown","tarsus",55,24.6730909090909,0.478910445983274,0.692033558422765,0.0280481096175827
"TL","adults","unknown","winglength",161,160.560062111801,11.0860732874535,3.32957554163492,0.0207372586796614
"TL","non-adult","unknown","billlength",34,15.97,0.411399999444569,0.641404708000003,0.0401631000626176
"TL","non-adult","unknown","headbill",34,37.39,1.49940000020206,1.22449989800002,0.0327493955068205
"TL","non-adult","unknown","tarsus",34,24.79,0.666399999545547,0.816333264999992,0.0329299421137552
"TL","non-adult","unknown","winglength",34,160.85,15.7215999960754,3.9650472879999,0.024650589294373
"TL","unknown","female","billlength",56,15.7,0.25,0.5,0.0318471337579618
"TL","unknown","female","tarsus",55,24.1,0.490000000000009,0.700000000000007,0.0290456431535272
"TL","unknown","female","winglength",54,158,12.6735999999983,3.55999999999976,0.0225316455696187
"TL","unknown","male","billlength",50,15.7,0.211600000000004,0.460000000000005,0.0292993630573251
"TL","unknown","male","tarsus",50,24,0.336400000000026,0.580000000000022,0.0241666666666676
"TL","unknown","male","winglength",47,158,14.1375999999982,3.75999999999976,0.0237974683544289
"TM","adults","female","headbill",54,31.5,0.384400000000028,0.620000000000022,0.0196825396825404
"TM","adults","female","tail",54,57.4,4.16159999999991,2.03999999999998,0.0355400696864108
"TM","adults","female","tarsus",54,22.3,0.518399999999986,0.71999999999999,0.0322869955156946
"TM","adults","female","winglength",54,123.7,5.80810000000019,2.41000000000004,0.0194826192400973
"TM","adults","male","headbill",102,31.8,0.435600000000022,0.660000000000017,0.0207547169811326
"TM","adults","male","tail",102,56.5,5.80810000000019,2.41000000000004,0.0426548672566379
"TM","adults","male","tarsus",102,22.2,0.518399999999986,0.71999999999999,0.032432432432432
"TM","adults","male","winglength",102,121.9,5.90489999999954,2.42999999999991,0.0199343724364225
"TM","unknown","female","billlength",24,11,0.168099999999995,0.409999999999994,0.0372727272727268
"TM","unknown","female","tarsus",25,22.1,0.756899999999973,0.869999999999985,0.0393665158371034
"TM","unknown","female","winglength",25,121,8.58489999999983,2.92999999999997,0.0242148760330576
"TM","unknown","male","billlength",20,10.8,0.240099999999998,0.489999999999998,0.0453703703703702
"TM","unknown","male","tarsus",20,21.5,0.462400000000002,0.680000000000002,0.0316279069767443
"TM","unknown","male","winglength",19,120,8.70249999999942,2.9499999999999,0.0245833333333325
"TM","unknown","unknown","billlength",43,11.5,0.25,0.5,0.0434782608695652
"TM","unknown","unknown","headbill",55,31.8,0.490000000000009,0.700000000000007,0.0220125786163524
"TM","unknown","unknown","tail",14,58.4,7.84000000000015,2.80000000000003,0.0479452054794525
"TM","unknown","unknown","tarsus",60,22.9,0.639999999999986,0.799999999999991,0.0349344978165935
"TM","unknown","unknown","winglength",71,123.1,6.76000000000022,2.60000000000004,0.0211210398050369
"WE","adults","female","billlength",12,58.6,14.0625,3.75,0.0639931740614334
"WE","adults","female","tail",15,305,361,19,0.0622950819672131
"WE","adults","female","tarsus",7,96.5,4.62249999999949,2.14999999999988,0.0222797927461128
"WE","adults","female","winglength",14,668,650.25,25.5,0.0381736526946108
"WE","adults","male","billlength",17,52.6,7.67290000000003,2.77,0.052661596958175
"WE","adults","male","tail",17,280,368.639999999999,19.2,0.0685714285714285
"WE","adults","male","tarsus",10,94.5,4.04010000000017,2.01000000000004,0.0212698412698417
"WE","adults","male","winglength",19,606,686.440000000002,26.2,0.0432343234323433
"WE","non-adult","female","billlength",22,56.7,8.70249999999987,2.94999999999998,0.052028218694885
"WE","non-adult","female","tail",28,345,313.289999999994,17.6999999999998,0.0513043478260864
"WE","non-adult","female","winglength",29,685,729,27,0.0394160583941606
"WE","non-adult","male","billlength",20,52.9,4.12089999999989,2.02999999999997,0.0383742911153114
"WE","non-adult","male","tail",23,322,566.440000000002,23.8000000000001,0.073913043478261
"WE","non-adult","male","winglength",24,645,492.840000000026,22.2000000000006,0.0344186046511637
